,Country,"Under-five mortality rate 2019,both","Under-five mortality rate 2019, male","Under-five mortality rate 2019, Female",Infant mortality rate 2019,Neonatal mortality rate 2019,"Mortality rate among children aged 5–14 years, 2019",Annual rate of reduction in under-five mortality rate	,Annual rate of reduction in stillbirth rate,Under five deaths 2019,Deaths among children aged 5–14 years 2019,Vaccine BCG,Vaccine DTP1,Vaccine DTP3,Vaccine Polio3,Vaccine MCV1,Vaccine MCV2 (F),Vaccine HepB3,Vaccine Hib3,Vaccine Rota,Vaccine PCV3,Child dependency ratio,Maternity leave benefits,Paternity leave benefits,Exclusive Breastfeeding (< 6months) %,country_code
130,Micronesia,29,32,26,25,16,6,3.1,1.4,75,14,84,98,83,82,79,62,88,68,40,79,48,No,No,,FSM
131,Bangladesh,31,33,29,26,19,7,5.4,2.8,"89,796","20,650",99,99,98,98,97,93,98,98,-,99,39,Yes,No,63,BGD
132,Sao Tome and Principe,30,33,27,23,14,6,5.4,1.5,198,36,-,-,-,-,-,-,-,-,-,-,76,Yes,No,63,STP
133,Nepal,31,33,28,26,20,5,5.1,3.0,"17,296","3,016",92,89,84,84,87,74,84,84,-,80,44,Yes,Yes,62,NPL
134,Guyana,29,33,25,24,19,5,2.4,1.4,453,71,94,99,99,91,98,97,99,99,97,89,42,No,No,21,GUY
135,Nauru,31,34,28,26,20,6,1.6,0.7,9,2,99,99,95,95,98,97,95,95,-,-,58,-,-,67,NRU
136,India,34,34,35,28,22,5,5.2,4.0,"824,448","135,877",85,87,85,85,89,81,85,85,82,21,39,Yes,No,58,IND
137,Marshall Islands,32,35,28,26,15,6,1.3,0.5,44,9,-,-,-,-,-,-,-,-,-,-,63,No,No,43,MHL
138,Rwanda,34,37,31,26,16,9,8.7,2.8,"13,310","3,031",89,91,91,91,94,91,91,91,91,91,69,No,Yes,81,RWA
139,South Africa,34,37,31,28,11,5,3.8,1.2,"40,631","6,106",86,88,84,84,84,76,84,84,83,83,44,Yes,Yes,32,ZAF
140,Tajikistan,34,38,30,30,15,1,4.8,2.2,"9,377",303,98,98,97,97,98,97,97,97,95,-,63,Yes,No,36,TJK
141,Dominica,35,39,34,31,28,3,-3.8,-0.9,33,3,98,99,97,97,92,90,97,97,-,-,26,No,No,,DMA
142,Botswana,42,45,38,32,18,6,2.7,-1.3,"2,320",298,98,98,95,96,87,66,95,95,85,90,54,No,No,30,BWA
143,Malawi,42,46,37,31,20,12,7.5,1.6,"25,712","6,394",87,95,94,93,90,75,90,90,91,93,79,No,No,59,MWI
144,Namibia,42,46,39,31,19,11,3.0,0.9,"2,954",660,-,-,-,-,-,-,-,-,-,-,62,No,No,48,NAM
145,Eritrea,40,46,35,30,18,7,3.9,1.3,"4,247",724,97,97,95,95,93,85,95,95,96,95,76,No,No,69,ERI
146,Gabon,42,47,38,31,20,12,3.6,1.3,"2,807",602,85,69,63,62,53,-,63,63,-,-,63,Yes,Yes,5,GAB
147,Kenya,43,47,39,32,21,10,4.3,0.7,"63,623","13,556",92,94,89,89,88,49,91,89,93,90,66,No,Yes,61,KEN
148,Papua New Guinea,45,48,41,36,22,8,2.4,1.0,"10,393","1,710",52,48,39,41,47,27,39,39,-,39,57,No,No,60,PNG
149,Timor-Leste,44,48,40,38,20,8,4.7,2.4,"1,645",257,88,87,86,86,79,78,86,86,-,-,63,No,Yes,65,TLS
150,Turkmenistan,42,48,36,36,24,4,2.7,0.9,"5,793",426,98,99,98,98,98,99,99,99,95,23,48,-,-,56,TKM
151,Senegal,45,49,41,33,22,10,5.5,1.3,"24,651","4,629",95,93,91,84,88,69,92,92,92,92,78,Yes,Yes,41,SEN
152,Myanmar,45,49,40,36,22,5,3.6,1.8,"41,896","4,506",87,87,84,86,91,90,84,84,49,86,37,Yes,Yes,51,MMR
153,Lao People's Democratic Republic,46,50,41,36,22,8,4.5,2.0,"7,520","1,243",90,87,79,78,79,47,79,79,-,77,50,Yes,Yes,44,LAO
154,Uganda,46,51,41,33,20,14,6.1,1.4,"74,053","18,308",91,94,89,88,87,-,89,89,88,89,88,No,Yes,65,UGA
155,Ghana,46,51,41,34,23,11,4.0,1.5,"40,168","7,824",93,94,94,92,88,79,94,94,89,95,62,No,No,43,GHA
156,Congo,48,52,44,35,19,8,4.6,1.6,"8,204","1,136",72,77,73,73,68,29,73,73,60,71,74,Yes,No,33,COG
157,Eswatini,49,54,45,39,18,13,4.2,0.9,"1,468",393,97,87,83,82,76,70,83,83,63,83,64,No,No,64,SWZ
158,United Republic of Tanzania,50,54,47,36,20,11,5.0,1.6,"103,222","18,812",87,88,86,65,84,67,86,86,82,80,81,No,Yes,58,TZA
159,Madagascar,51,55,46,36,20,18,3.9,1.1,"43,110","12,710",73,73,68,76,59,24,70,70,64,65,70,Yes,No,51,MDG
160,Kiribati,51,55,46,40,22,9,1.8,0.9,164,26,93,99,92,91,82,57,92,92,89,91,60,No,No,64,KIR
161,Ethiopia,51,56,45,37,28,11,5.4,2.0,"177,849","30,817",70,76,71,74,60,46,71,71,70,67,71,Yes,Yes,59,ETH
162,Gambia,52,56,47,36,27,10,4.1,1.1,"4,504",665,-,-,-,-,-,-,-,-,-,-,82,Yes,Yes,54,GMB
163,Zimbabwe,55,59,50,38,26,12,2.8,1.9,"24,166","4,765",88,93,86,86,85,74,86,86,88,86,76,Yes,No,42,ZWE
164,Burundi,56,61,52,40,21,21,5.3,0.8,"24,412","7,016",83,98,93,93,90,83,93,93,96,93,86,No,Yes,72,BDI
165,Djibouti,57,62,52,48,31,13,3.0,1.2,"1,173",240,77,76,70,70,62,60,70,70,72,70,44,Yes,Yes,12,DJI
166,Yemen,58,62,54,44,27,13,2.6,0.6,"50,312","9,287",71,83,72,66,68,46,72,72,73,72,67,No,No,10,YEM
167,Sudan,58,63,53,41,27,8,3.0,1.4,"78,028","9,105",92,96,90,90,86,68,90,90,92,90,70,No,No,55,SDN
168,Afghanistan,60,64,57,47,36,4,4.0,1.4,"72,186","4,545",87,78,70,75,66,43,70,70,62,68,75,No,Yes,58,AFG
169,Zambia,62,66,57,42,23,11,4.8,1.8,"38,460","5,648",85,88,84,83,96,66,84,84,87,85,82,Yes,No,70,ZMB
170,Haiti,63,68,57,48,25,11,2.6,1.0,"16,890","2,665",73,75,51,51,65,41,51,51,51,51,52,No,No,40,HTI
171,Comoros,63,68,58,48,30,8,2.5,1.1,"1,656",184,91,93,87,81,89,-,87,87,-,-,67,Yes,No,11,COM
172,Togo,67,72,61,46,25,13,3.0,1.3,"17,331","2,744",96,87,82,80,69,46,82,82,78,82,72,Yes,Yes,64,TGO
173,Pakistan,67,72,63,56,41,8,2.5,1.4,"399,418","40,623",91,83,77,83,83,74,77,77,80,80,57,Yes,No,48,PAK
174,Mozambique,74,79,70,55,29,15,4.4,1.3,"81,507","12,993",91,83,79,73,81,62,79,79,79,65,83,No,Yes,41,MOZ
175,Mauritania,73,79,67,50,32,7,2.3,1.6,"10,699",850,80,79,71,76,72,-,71,71,71,70,69,Yes,Yes,40,MRT
176,Angola,75,80,69,50,28,16,5.3,2.2,"92,690","15,544",58,61,51,51,44,41,47,47,39,47,90,No,Yes,37,AGO
177,Cameroon,75,81,69,50,26,23,3.4,1.1,"66,071","16,065",80,77,69,70,62,28,69,69,67,69,76,Yes,Yes,39,CMR
178,Niger,80,84,76,47,24,30,5.4,1.8,"81,635","21,527",94,93,81,81,79,60,81,81,83,81,104,Yes,Yes,22,NER
179,Guinea-Bissau,78,85,72,52,35,16,4.2,1.7,"5,111",826,-,-,-,-,-,-,-,-,-,-,76,No,No,59,GNB
180,Côte d'Ivoire,79,87,71,59,33,25,3.1,1.4,"70,330","16,849",86,93,80,74,70,-,80,80,77,79,75,Yes,Yes,23,CIV
181,Equatorial Guinea,82,88,76,60,29,16,3.4,0.9,"3,519",510,85,77,53,55,53,-,53,53,-,-,60,No,Yes,7,GNQ
182,Democratic Republic of the Congo,85,91,78,66,27,22,3.3,1.1,"290,859","55,184",73,66,57,59,57,-,57,57,33,58,89,Yes,Yes,54,COD
183,Liberia,85,91,78,62,32,16,4.2,1.1,"13,365","2,011",85,82,65,67,61,30,65,65,65,65,72,Yes,No,55,LBR
184,Burkina Faso,88,92,83,54,26,17,3.8,2.2,"64,744","10,131",98,95,91,91,88,71,91,91,91,91,83,Yes,Yes,58,BFA
